url,name,lat,lng,住所,売買価格,建築時期,敷地面積,建築面積,駐車場,建築構造,間取り,補修の要否,主要施設までの交通,物件の特徴,備考,地目,用途地域,建ぺい率,容積率,接続道路,特記事項,賃貸価格
https://tsuruga-akiya.jp/property/buysell/%e6%95%a6%e8%b3%80%e5%b8%82%e9%95%b7%e8%b0%b7no-136/,敦賀市長谷no.136,35.617218613841,136.04166930144,敦賀市長谷13号岡山尻1番12,999万円,昭和63年12月,207.41㎡,"1F:82.87㎡
                                                                                                                                                    2F:30.92㎡",2台,木造,図面参照,多少の補修必要 入居者負担,"粟野駅：約1,600m、黒河小学校：約950ｍ
粟野中学校：約1,500ｍ",個別プロパン、上下水道引込済み,,,,,,,,
https://tsuruga-akiya.jp/property/buysell/%e6%95%a6%e8%b3%80%e5%b8%82%e4%b8%adno-135/,敦賀市中no.135,35.645630749697,136.08896590365,敦賀市中4-1,820万円,,600.06㎡,,,,,,"敦賀駅:約2,200ｍ、最寄バス停：約230ｍ、敦賀病院：約2,800ｍ、
東郷保育園：約650ｍ、敦賀教会幼稚園：約2,100m、
角鹿小学校：約1,800ｍ、角鹿中学校：約1,800ｍ",,上水道、浄化槽設置可、プロパンガス,宅地,準工業地域,60,200,南側道路幅員約5.2ｍ、西側道路幅員約4.2ｍ,"屋外広告物届出対象路線
景観区域",
https://tsuruga-akiya.jp/property/rent/%e6%95%a6%e8%b3%80%e5%b8%82%e6%ab%9b%e6%9e%97-no-134/,敦賀市櫛林 no.134,35.624619821946,136.04288134291,敦賀市櫛林20号4番地5,,平成2年,,"1F:105.67㎡
                                                                                                                                                    2F:60.14㎡",3台,木造,図面参照,,"敦賀駅：約2,000ｍ、最寄バス停：約500ｍ、敦賀病院：約1,000ｍ、
第二早翠幼稚園：約1,000ｍ、櫛林保育園：約500ｍ、
粟野小学校：約800ｍ、粟野中学校：約700ｍ",上下水道・電気引込済み、プロパンガス,,,,,,,,10万円／月
https://tsuruga-akiya.jp/property/buysell/no121/,敦賀市若葉町3丁目 no.121,35.6292185,136.0483383,敦賀市若葉町3丁目1315番地他2筆,2598万円,,205.46㎡,"1F:127.18㎡
                                                                                                                                                    2F:41.05㎡",13台,木造,図面参照,補修は不要,"敦賀駅：約4,400ｍ、最寄バス停：約700ｍ、病院：約1,200ｍ、
粟野保育園：約900ｍ、中央小学校：約1,000ｍ、
粟野中学校：約200ｍ、スーパー：約500ｍ",上下水道引き込み済、プロパンガス使用,,,,,,,"平成26年大規模リフォーム（内装・外壁・設備・フローリング等々）
室内残荷物は、売主負担にて撤収いたします。",
https://tsuruga-akiya.jp/property/rent/no118/,敦賀市神楽町1丁目 no.118,35.6540904,136.0708657,敦賀市神楽町1丁目4番14号,,,200㎡,"1F:140㎡
                                                                                                                                                    2F:60㎡
                                                                                                                                                                                                    3F:30㎡",2台,鉄筋コンクリート造、木造,図面参照,多少の補修必要（入居者負担）,"敦賀駅：約1,000ｍ、最寄バス停：約0ｍ、敦賀病院：約600ｍ、
晴明保育園：約500ｍ、早翠幼稚園：約500ｍ、
角鹿小学校：約500ｍ、角鹿中学校：約500ｍ",店舗（住居込み）、上下水道引き込み済、都市ガス,,,,,,,,16万円／月
https://tsuruga-akiya.jp/property/rent/no116/,敦賀市泉ヶ丘町 no.116,35.6424521,136.0903089,敦賀市泉ヶ丘町1番11，12，19,,昭和49年11月,722.63㎡,"1F:32.47㎡
                                                                                                                                                    2F:32.47㎡",2台,木造,図面参照,補修中（補修期間2ヶ月程度の見込み）,"敦賀駅：約5,000ｍ、最寄バス停：約500ｍ
泉ヶ丘病院：約500ｍ、東郷保育園：約1,500ｍ
角鹿小学校：約3,400ｍ、角鹿中学校：約3,400ｍ","エコキュート、オール電化、下水道、エアコン完備
海や街が一望できます。",主要な家具・家電が必要な場合、無料で用意します。,,,,,,"現在補修中のため補修完了まで入居不可
補修期間は2ヶ月程度の見込み",5万円／月礼金5万円
https://tsuruga-akiya.jp/property/buysell/no114/,敦賀市呉竹町1丁目 no.114,35.6465817,136.0596555,敦賀市呉竹町1丁目37-6,1480万円,1998年5月,132.31㎡,"1F:68.56㎡
                                                                                                                                                    2F:63.74㎡",2台,木造,図面参照,多少の補修必要（入居者負担）,"敦賀駅：約1,700ｍ、最寄バス停：約260ｍ
敦賀病院：約1,000ｍ、三島保育園：約1,000ｍ
敦賀西小学校：約1,400ｍ、松陵中学校：約1,800ｍ",上下水道、プロパンガス,,,,,,,,
https://tsuruga-akiya.jp/property/buysell/no110/,敦賀市泉ケ丘町 no.110,35.6424521,136.0903089,敦賀市泉ヶ丘町3番5,190万円,,221.93㎡,,,,,,"敦賀駅:約3,100ｍ、最寄バス停：約240ｍ、敦賀病院：約4,000ｍ
東郷保育園：約1,500ｍ、角鹿小学校：約3,000ｍ、角鹿中学校：約3,000ｍ",,"上下水道、ガス引き込みなし
価格応相談",,,40%,60%,東側道路幅員約6.2ｍ,"建築物の高さの限度：10m
屋外広告物規制地域（第3種禁止地域）
景観区域",
https://tsuruga-akiya.jp/property/buysell/no109/,敦賀市萩野町 no.109,35.6278627,136.0448669,敦賀市萩野町97-3-22,1980万円,1976年1月,478.06㎡,"1F:105.57㎡
                                                                                                                                                    2F:38.88㎡",4台,木造,図面参照,補修は不要,"敦賀駅：約5,000ｍ、最寄バス停：約500ｍ、敦賀病院：約4,200ｍ、
粟野保育園：約550ｍ、粟野小学校：約600ｍ、粟野中学校：約400ｍ",上下水道、個別プロパン（コンロ、風呂追い焚きのみ）,,,,,,,,
https://tsuruga-akiya.jp/property/buysell/no105/,敦賀市栄新町 no.105,35.6584284,136.0740574,敦賀市栄新町8番21号,470万円,建築時期不明（昭和42年10月増築）,105.32㎡,"1F:62.29㎡
                                                                                                                                                    2F:37.50㎡",,木造,図面参照,大幅な補修必要 （入居者負担）,"敦賀駅：約1,800ｍ、最寄バス停：約300ｍ、敦賀病院：約1500ｍ、
気比保育園：約500ｍ、角鹿小学校：約850ｍ、角鹿中学校：約850ｍ",上下水道引き込み済み、都市ガス,,,,,,,,
https://tsuruga-akiya.jp/property/rent/no73/,敦賀市泉ヶ丘町 no.73,35.6439652,136.0904021,敦賀市泉ヶ丘町15番地の6,,昭和53年8月,,"1F:58.96㎡
                                                                                                                                                    2F:41.02㎡",1台,軽量鉄骨造,,多少の補修必要（入居者負担）,"敦賀駅：約3,200ｍ、最寄バス停：約200m、泉ケ丘病院：約600ｍ、
角鹿小学校：約2,900m、角鹿中学校：約2,900ｍ",,,,,,,,,"5万円／月敷金150,000円"
